id,focus,signal,slack,drag,confidence,score,lane
l001,rename risk,35,33,6,25,186,ship
l002,operator cost,35,34,6,55,217,ship
l003,idempotence,35,35,6,85,248,ship
l004,dry-run spread,35,36,18,25,165,ship
l005,rename risk,35,37,18,55,196,ship
l006,operator cost,35,38,18,85,227,ship
l007,idempotence,35,39,34,25,136,watch
l008,dry-run spread,35,40,34,55,167,ship
l009,rename risk,35,41,34,85,198,ship
l010,operator cost,60,42,6,25,295,ship
l011,idempotence,60,43,6,55,326,ship
l012,dry-run spread,60,44,6,85,357,ship
l013,rename risk,60,45,18,25,274,ship
l014,operator cost,60,46,18,55,305,ship
l015,idempotence,60,47,18,85,336,ship
l016,dry-run spread,60,48,34,25,245,ship
l017,rename risk,60,32,34,55,259,ship
l018,operator cost,60,33,34,85,290,ship
l019,idempotence,85,34,6,25,387,ship
l020,dry-run spread,85,35,6,55,418,ship
l021,rename risk,85,36,6,85,449,ship
l022,operator cost,85,37,18,25,366,ship
l023,idempotence,85,38,18,55,397,ship
l024,dry-run spread,85,39,18,85,428,ship
l025,rename risk,85,40,34,25,337,ship
l026,operator cost,85,41,34,55,368,ship
l027,idempotence,85,42,34,85,399,ship
